record_id,asset_id,asset_type,technician_id,date,maintenance_note,true_severity
REC_0001,ASSET_5506,Brake System,Tech_005,2023-09-08,Minor corrosion on wheelset surface. Treated and coated. Monitor at next cycle.,Medium
REC_0002,ASSET_7912,Bogie Frame,Tech_003,2023-02-02,"Noticed unusual wear pattern on door mechanism. Flange thickness measured at 8.7mm, approaching lower limit.",Medium
REC_0003,ASSET_1434,Brake System,Tech_023,2024-07-28,Tread hollowing measured: 48.3mm. Reprofiling scheduled.,Low
REC_0004,ASSET_8359,Pantograph,Tech_026,2024-08-26,Minor corrosion on door mechanism surface. Treated and coated. Monitor at next cycle.,Medium
REC_0005,ASSET_6574,Axle Box,Tech_007,2023-10-12,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0006,ASSET_2584,Traction Motor,Tech_020,2024-01-03,Rhythmic clunking at low speed. Wheel flat detected: 9.3mm depth.,High
REC_0007,ASSET_9785,HVAC Unit,Tech_003,2023-05-08,Intermittent squealing noise from bogie frame. Lubrication applied; monitoring required.,Low
REC_0008,ASSET_6925,Brake System,Tech_023,2024-08-14,Bearing temperature elevated: 78.9°C during run. Checked lubrication – regreased.,Medium
REC_0009,ASSET_5741,Brake System,Tech_028,2023-03-23,Visual check passed. Surface condition satisfactory.,Low
REC_0010,ASSET_6977,Traction Motor,Tech_012,2023-06-16,"Noticed unusual wear pattern on hvac unit. Flange thickness measured at 26.8mm, approaching lower limit.",Medium
REC_0011,ASSET_2169,Axle Box,Tech_018,2024-09-15,Tread hollowing measured: 66.8mm. Reprofiling scheduled.,Low
REC_0012,ASSET_5422,Door Mechanism,Tech_008,2024-10-17,Driver reported excessive vibration above 80km/h. Investigated axle box – bearing clearance within limits but noted micro-pitting.,Medium
REC_0013,ASSET_1916,Bogie Frame,Tech_026,2023-08-23,Spring deflection marginally above mean: 80.1mm. Within acceptable range. Note for trend analysis.,Medium
REC_0014,ASSET_4456,Traction Motor,Tech_007,2024-08-03,Rhythmic clunking at low speed. Wheel flat detected: 25.8mm depth.,High
REC_0015,ASSET_8517,Pantograph,Tech_005,2023-05-27,Minor corrosion on coupler assembly surface. Treated and coated. Monitor at next cycle.,Medium
REC_0016,ASSET_8019,HVAC Unit,Tech_012,2024-08-20,Driver reported excessive vibration above 80km/h. Investigated door mechanism – bearing clearance within limits but noted micro-pitting.,Medium
REC_0017,ASSET_2489,Wheelset,Tech_005,2023-02-18,Driver reported excessive vibration above 80km/h. Investigated axle box – bearing clearance within limits but noted micro-pitting.,Medium
REC_0018,ASSET_7916,Wheelset,Tech_013,2024-09-02,Minor corrosion on axle box surface. Treated and coated. Monitor at next cycle.,Medium
REC_0019,ASSET_9669,Door Mechanism,Tech_028,2023-09-15,Surface crack observed on suspension spring tread. Asset removed from service pending workshop assessment.,High
REC_0020,ASSET_9797,Traction Motor,Tech_004,2023-10-01,Routine inspection completed. No anomalies detected. All measurements within spec.,Low
REC_0021,ASSET_1053,Door Mechanism,Tech_025,2023-09-27,High-frequency noise traced to hvac unit. Fastener torque checked and found loose at 15.4Nm.,Low
REC_0022,ASSET_5889,Door Mechanism,Tech_020,2024-10-16,Uneven tread wear observed. Suspect hunting oscillation or misalignment.,Medium
REC_0023,ASSET_3646,Door Mechanism,Tech_030,2024-07-06,Tread hollowing measured: 35.8mm. Reprofiling scheduled.,Low
