record_id,asset_id,asset_type,technician_id,date,maintenance_note,true_severity,llm_fault_type,llm_severity,llm_component,llm_action_required,llm_urgency_days,llm_confidence,llm_reasoning
REC_0001,ASSET_3456,Wheelset,Tech_012,2023-03-15,"Minor corrosion on wheelset surface. Treated and coated. Monitor at next cycle.",Medium,corrosion,Medium,wheelset,False,30,0.82,"Surface corrosion treated but requires monitoring; medium severity as it could progress."
REC_0002,ASSET_7821,Bogie Frame,Tech_005,2023-07-22,"Noticed unusual wear pattern on door mechanism. Flange thickness measured at 8.7mm, approaching lower limit.",Medium,wear,Medium,door mechanism,True,14,0.91,"Flange approaching lower limit — action required within 14 days to avoid High severity."
REC_0003,ASSET_1244,Axle Box,Tech_019,2023-11-03,"Tread hollowing measured: 48.3mm. Reprofiling scheduled.",Low,wear,Low,wheelset tread,True,60,0.78,"Hollowing scheduled for reprofiling; low urgency but action confirmed."
REC_0004,ASSET_5590,Brake System,Tech_027,2023-05-10,"Brake pad thickness below threshold: 12.1mm. Replaced brake block set.",High,brake,High,brake pad,True,0,0.97,"Brake pad below safety threshold — immediate replacement performed; High severity."
REC_0005,ASSET_2233,Traction Motor,Tech_003,2023-09-18,"Routine inspection completed. No anomalies detected. All measurements within spec.",Low,none,Low,traction motor,False,,0.95,"No defects found; fully routine inspection."
REC_0006,ASSET_8871,Pantograph,Tech_014,2023-02-28,"Crack indication found on bogie frame during magnetic particle inspection. Length approx 7.2mm. Sent for NDT.",High,crack,High,bogie frame,True,0,0.99,"Crack indication is a critical defect — immediate NDT and removal from service implied."
REC_0007,ASSET_3312,Wheelset,Tech_022,2023-06-14,"Bearing temperature elevated: 82.4°C during run. Checked lubrication – regreased.",Medium,bearing,Medium,axle box bearing,True,7,0.88,"Elevated bearing temperature is a Medium concern; regreased but needs follow-up in ~7 days."
REC_0008,ASSET_6654,Suspension Spring,Tech_009,2023-10-05,"Driver reported excessive vibration above 80km/h. Investigated axle box – bearing clearance within limits but noted micro-pitting.",Medium,vibration,Medium,axle box,True,21,0.85,"Micro-pitting is an early warning sign; clearance within limits but should be watched closely."
REC_0009,ASSET_4421,Door Mechanism,Tech_031,2023-04-19,"Wheel flat detected: 3.8mm depth.",High,vibration,High,wheel,True,0,0.96,"Wheel flat of 3.8mm is operationally unsafe; immediate action required."
REC_0010,ASSET_9900,HVAC Unit,Tech_017,2023-08-07,"Scheduled lubrication performed on pantograph. Grease level restored.",Low,none,Low,pantograph,False,,0.93,"Scheduled lubrication only; no defect found."
REC_0011,ASSET_1155,Coupler Assembly,Tech_006,2023-12-01,"TADS alarm triggered for axle box bearing. Temperature spike 24.3°C above ambient. Bearing replaced.",High,bearing,High,axle box bearing,True,0,0.98,"TADS alarm + temperature spike = critical; bearing replaced immediately."
REC_0012,ASSET_7743,Bogie Frame,Tech_020,2023-01-25,"Uneven tread wear observed. Suspect hunting oscillation or misalignment.",Medium,wear,Medium,wheelset tread,True,28,0.80,"Hunting oscillation suspected; medium severity with follow-up alignment check needed."
REC_0013,ASSET_3387,Wheelset,Tech_011,2023-07-09,"Surface crack observed on tread. Asset removed from service pending workshop assessment.",High,crack,High,wheel tread,True,0,0.99,"Asset removed from service due to crack — unambiguous High severity."
REC_0014,ASSET_8812,Axle Box,Tech_024,2023-09-30,"All measurements nominal. Component life estimated 67.0% remaining.",Low,none,Low,axle box,False,,0.94,"All nominal; 67% life remaining indicates healthy asset."
REC_0015,ASSET_5561,Brake System,Tech_002,2023-11-15,"Uneven brake application reported. Slack adjuster inspected and reset.",Medium,brake,Medium,slack adjuster,True,14,0.86,"Uneven brake application is a functional concern; adjuster reset but monitoring needed."
